cluster,field,academic_rank
22.0,ศัลยศาสตร์ช่องปาก,5
22.0,ศัลยศาสตร์ช่องปากและแม็กซิลโลเฟเชียล,3
22.0,ศัลยศาสตร์ตกเเต่ง,1
22.0,ศัลยศาสตร์ตกแต่ง,2
22.0,ศัลยศาสตร์ทรวงอก,3
22.0,ศัลยศาสตร์ทั่วไป,14
22.0,ศัลยศาสตร์ทางมือ,1
22.0,ศัลยศาสตร์ยูโรวิทยา,7
22.0,ศัลยศาสตร์ระบบทางเดินปัสสาวะ,1
22.0,ศัลยศาสตร์ระบบปัสสาวะ,1
22.0,ศัลยศาสตร์ศรีษะ คอ และเต้านม,2
22.0,ศัลยศาสตร์หลอดเลือด,2
22.0,ศัลยศาสตร์หัวใจและทรวงอก,1
22.0,ศัลยศาสตร์ออร์โทปิดิกส์และเวชศาสตร์ฟื้นฟู,1
22.0,ศัลยศาสตร์ออร์โธปิดิกส์,10
22.0,ศัลยศาสตร์ออร์โธปิดิกส์ทั่วไป,1
22.0,ศัลยศาสตร์ออร์โธปิดิกส์และกายภาพบำบัด,8
22.0,ศัลยศาสตร์ออร์โธปิดิคส์,8
22.0,ศัลยศาสตร์อุบัติเหตุ,4
22.0,สาขาศัลยศาสตร์ทั่วไป,1
23.0,ภาษาอังกฤษสำหรับวิทยาศาสตร์และเทคโนโลยี,1
23.0,ภาษาอังกฤษเพื่อวิทยาศาสตร์และเทคโนโลยี,3
23.0,วิทยาศาสตร์ทางภาพถ่ายและเทคโนโลยีทางการพิมพ์,1
23.0,วิทยาศาสตร์และเทคโนโลยี,6
23.0,วิทยาศาสตร์และเทคโนโลยีการอาหาร,18
23.0,วิทยาศาสตร์และเทคโนโลยีทางอาหาร,2
23.0,วิทยาศาสตร์และเทคโนโลยีทางอาหาร/วิทยาศาสตร์การอาหาร,2
23.0,วิทยาศาสตร์และเทคโนโลยีพอลิเมอร์,4
23.0,วิทยาศาสตร์และเทคโนโลยีอาหาร,3
23.0,อาหารและโภชนาการ,5
23.0,เทคโนโลยีการอาหาร,2
23.0,เทคโนโลยีการอาหารและโภชนศาสตร์,1
23.0,เทคโนโลยีการอาหารและโภชนาการ,1
23.0,เทคโนโลยีทางอาหาร,10
23.0,เทคโนโลยีอาหาร,9
23.0,เทคโนโลยีอาหาร เทคโนโลยีผลิตภัณฑ์ประมง และการควบคุมและการประกันคุณภาพ,1
24.0,ความผิดปกติทางการสื่อความหมาย,1
24.0,บรรณารักษศาสตร์และสารนิเทศศาสตร์,7
24.0,ปฐพีศาสตร์,5
