Column1,academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
2893,ศาสตราจารย์,ดร. วีรชาติ เปรมานนท์,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ดุริยางคศิลป์,,,,,,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2894,รองศาสตราจารย์,ดร. วีรพงศ์ วุฒิพันธุ์ชัย,Verapong Vuthiphandchai,มหาวิทยาลัยบูรพา,Burapha University,วาริชศาสตร์,498,34,367,13,32,ปริญญาเอก,ข้าราชการ
2895,รองศาสตราจารย์,ดร. วีรพงษ์ พลนิกรกิจ,Weerapong Polnigongit,มหาวิทยาลัยเทคโนโลยีสุรนารี,Suranaree University of Technology,นิเทศศาสตร์,17,7,17,3,9,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2896,รองศาสตราจารย์,ดร. วีรพล คู่คงวิริยพันธุ์,Veerapol Kukongviriyapan,มหาวิทยาลัยขอนแก่น,Khon Kaen University,เภสัชศาสตร์,2651,124,2161,30,222,ปริญญาเอก,ข้าราชการ
2897,รองศาสตราจารย์,ดร. วีรยา ฉิมอ้อย,Weeraya Chim-oye,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,13,5,11,2,6,ปริญญาเอก,ข้าราชการ
2898,รองศาสตราจารย์,ดร. วีรวัฒน์ เหลืองชนะ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,1,,ปริญญาเอก,ข้าราชการ
2899,รองศาสตราจารย์,ดร. วีระ บุญจริง,Veera Boonjing,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,วิทยาการคอมพิวเตอร์,344,79,312,9,54,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2900,รองศาสตราจารย์,ดร. วีระ บุณยะกาจน,,มหาวิทยาลัยวงษ์ชวลิตกุล,Vongchavalitkul University,-,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
2901,รองศาสตราจารย์,ดร. วีระ สมบูรณ์,Vira Somboon,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,รัฐศาสตร์,3,2,3,1,5,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2902,รองศาสตราจารย์,ดร. วีระ อินพันทัง,,มหาวิทยาลัยศิลปากร,Silapakorn University,-,,,,,,ปริญญาเอก,ข้าราชการ
2903,รองศาสตราจารย์,ดร. วีระ ไชยศรีสุข,,มหาวิทยาลัยการจัดการเทคโนโลยีอีสเทิร์น,Eastern University of Management and Technology,วิชาชีพครู,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
2904,รองศาสตราจารย์,ดร. วีระ ไทยพานิช,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,ศึกษาศาสตร์,,,,,,ปริญญาเอก,ต่ออายุราชการ
2905,รองศาสตราจารย์,ดร. วีระกิตติ์ เสาร่ม,,มหาวิทยาลัยราชภัฏมหาสารคาม,Rajabhat Maha Sarakham University,ทฤษฎีเศรษฐศาสตร์,,,,,,ปริญญาเอก,ข้าราชการ
2906,รองศาสตราจารย์,ดร. วีระชัย สิริพันธ์วราภรณ์,Weerachai Siripunvaraporn,มหาวิทยาลัยมหิดล,Mahidol University,ฟิสิกส์,1408,38,931,14,74,ปริญญาเอก,ข้าราชการ
2907,รองศาสตราจารย์,ดร. วีระชาติ กิเลนทอง,Weerachart T. Kilenthong,มหาวิทยาลัยหอการค้าไทย,University of the Thai Chamber of Commerce,เศรษฐศาสตร์,24,7,24,3,6,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
2908,ศาสตราจารย์,ดร. วีระพงศ์ ปรัชชญาสิทธิกุล,Virapong Prachayasittikul,มหาวิทยาลัยมหิดล,Mahidol University,เทคนิคการแพทย์,4532,254,3108,35,246,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2909,รองศาสตราจารย์,ดร. วีระพงศ์ ลุลิตานนท์,Viraphong Lulitanond,มหาวิทยาลัยขอนแก่น,Khon Kaen University,-,1093,94,963,16,418,ปริญญาเอก,ข้าราชการ
2910,รองศาสตราจารย์,ดร. วีระพงษ์ แสง-ชูโต,,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,วิทยาศาสตร์ศึกษา,,,,0,,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2911,ศาสตราจารย์,ดร. วีระพล จันทร์ดียิ่ง,Verapol Chandeeying,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,สูติศาสตร์และนรีเวชวิทยา,3,2,3,1,4,ปริญญาเอก,ข้าราชการ
